Nombre,Contraseña,Perfil
Juan,clave123,Administrador
María,contraseña456,Usuario
Pedro,abcd1234,Administrador
Ana,12qwerty,Usuario
Luis,password,Administrador
Sofía,pass1234,Usuario
Carlos,passw0rd,Administrador
Laura,pass123,Usuario
Jorge,asdfgh,Administrador
Elena,asdfjkl,Usuario
David,qwertyuiop,Administrador
Raquel,zxcvbnm,Usuario
Francisco,asdfghjk,Administrador
Lucía,poiuytrewq,Usuario
Fernando,abc123,Administrador
Isabel,123456789,Usuario
Diego,87654321,Administrador
Carmen,q1w2e3r4,Usuario
Ricardo,abcd1234,Administrador
Andrea,contraseña123,Usuario
